feature,mu_gain,pi_gain,total_gain
X851,41.894650030136106,198.40788354873658,240.30253357887267
X122,63.44071385860443,175.24127813577653,238.68199199438095
X46,150.29783449172973,87.79314012527466,238.0909746170044
X613,91.73768615722656,140.92884582281113,232.6665319800377
X190,118.14713630676269,113.1307658612728,231.2779021680355
X295,140.83218870162963,90.35171560049056,231.1839043021202
X839,173.7315609931946,56.82540606856346,230.55696706175806
X292,58.368760108947754,168.3074200041592,226.67618011310697
X1017,105.18034167289734,119.72475047763437,224.90509215053171
X95,114.16094608306885,110.22753332853317,224.38847941160202
X893,188.45517220497132,35.57789824008942,224.03307044506073
X1044,131.44744591712953,88.06329793930054,219.51074385643005
X1013,80.78260359466076,138.28861611485482,219.07121970951556
X682,122.7902783870697,96.03969005346298,218.8299684405327
X27,103.14337973594665,115.31157550811767,218.4549552440643
X836,130.7662082672119,86.90944055318832,217.67564882040023
X1000,131.50798254013063,85.90635232925415,217.4143348693848
X337,122.85194778442383,93.98670688271523,216.83865466713905
X860,119.47561573982239,96.17126905918121,215.6468847990036
X376,15.495965766906739,199.1373989060521,214.63336467295886
X330,68.01618404388428,146.00421553477645,214.02039957866072
X1005,113.71126971244811,99.87637624293566,213.58764595538378
X1015,122.90785380601884,88.7154902458191,211.62334405183793
X1077,95.65176587104797,115.55444822311401,211.20621409416196
X834,96.56996154785156,111.97268590927123,208.5426474571228
X865,97.53922185897827,110.99389331936837,208.53311517834663
X397,122.94198570251464,83.76006150245667,206.7020472049713
X826,133.1357546210289,73.24632326364517,206.38207788467406
X67,137.89940843582153,66.7744786977768,204.67388713359833
X34,109.35400605201721,94.12158224582672,203.47558829784393
X209,67.43468821048737,134.61612604856492,202.0508142590523
X128,68.45584573745728,131.24442273378372,199.700268471241
X264,85.29515795707702,113.54064092338085,198.83579888045787
X483,116.28647012710572,81.82761263102293,198.11408275812863
X110,97.08916549682617,101.00601426362991,198.09517976045606
X838,81.5938277721405,115.76200007200241,197.3558278441429
X997,91.14061059951783,106.04496331810951,197.18557391762732
X835,133.06443514823914,63.754323959350586,196.81875910758973
X396,48.72810230255127,147.36863164901735,196.0967339515686
X806,40.41421184539795,154.81617671251297,195.2303885579109
X632,136.96437187194823,57.97764406204224,194.94201593399046
X560,79.68743658065796,114.65047363042831,194.33791021108627
X730,77.7861126422882,115.8314121723175,193.6175248146057
X415,51.804464149475095,139.92692683935167,191.73139098882677
X667,104.29627985954285,86.9949538230896,191.29123368263245
X888,151.17789902687073,39.79692974090576,190.9748287677765
X113,66.97017359733582,122.7528292119503,189.72300280928613
X340,38.11438426971436,151.07168490886687,189.18606917858122
X832,91.63995447158814,96.88929530978203,188.52924978137017
X843,78.64893221855164,109.57856628894805,188.2274985074997
X664,111.03049613237381,75.92773399353027,186.9582301259041
X867,113.47336049079895,72.83994598388672,186.31330647468567
X19,112.27144527435303,73.23845930099488,185.5099045753479
X853,87.78755979537964,97.04822390377521,184.83578369915483
X863,79.69893817901611,105.11471104621887,184.813649225235
X380,6.4253438949584964,178.26512446403504,184.69046835899354
X403,63.700249910354614,120.56101424694062,184.26126415729522
X668,95.03135585784912,89.01880752742291,184.05016338527201
X79,125.17677426338196,58.605475223064424,183.78224948644637
X644,140.7222988128662,40.52537639141083,181.24767520427702
X873,70.32993993759155,110.52708641886711,180.85702635645868
X901,34.336447954177856,145.2477314710617,179.58417942523957
X45,95.11695353984832,83.48679302907549,178.6037465689238
X784,33.37091236114502,144.67317019701005,178.04408255815508
X127,67.7358721256256,109.81953777074814,177.55540989637376
X830,120.93001461029053,55.380369174480435,176.31038378477098
X665,65.20846686661244,110.75582872219384,175.9642955888063
X361,58.41248979568481,116.95550539493561,175.36799519062043
X973,85.67805795669555,89.51213653981685,175.1901944965124
X161,96.16632027626038,78.94339960217476,175.10971987843516
X563,65.02957019805908,109.82822891771794,174.85779911577703
X880,117.03560235500336,57.03081752732396,174.06641988232732
X187,102.69858357906341,71.28862946033477,173.98721303939817
X129,78.0724865436554,95.41601011902094,173.48849666267634
X895,70.03853034973145,102.81034446656705,172.8488748162985
