feature,psi
X561,0.001216403483413549
X836,0.0012146243066479853
X667,0.0012128338865057956
X28,0.0012110214855110594
X29,0.001207626922678626
X822,0.001201972940895224
X854,0.0011984315095594996
X66,0.0011961340363810986
X884,0.0011926287861955237
X863,0.001184086134622642
X976,0.001181646031759825
X838,0.0011779254742019308
X330,0.0011763732813716372
X904,0.0011682156272966257
X110,0.0011674715141480347
X160,0.0011627523386267841
X850,0.0011627164161999535
X744,0.0011606371522512604
X797,0.0011602784202728532
X1011,0.0011589819649089658
X601,0.0011516249296325306
X214,0.0011498300916395364
X121,0.0011492445345140181
X606,0.0011485943683426799
X400,0.0011485359200950774
X751,0.001146234798546682
X944,0.0011443580602368227
X209,0.0011425191673570417
X570,0.0011306885732022432
X83,0.0011293413938607273
X465,0.0011284944312929676
X355,0.0011256418365181394
X793,0.0011249873371582952
X293,0.0011200542464146089
X613,0.0011189679394801983
X853,0.0011123018364914703
X210,0.0011085190193637707
X155,0.0011081711664946046
X78,0.0011076499518002862
X203,0.0011014676992227258
X589,0.0011013215398259705
X895,0.0011008440525972145
X47,0.0010983553841107936
X1060,0.001093705705376452
X81,0.0010909923530432017
X389,0.0010821425350451346
X795,0.0010800991244397135
X399,0.0010752136573990393
X63,0.0010598352767093979
X722,0.0010560854387985782
X165,0.0010558073424662565
X806,0.0010496946909570887
X5,0.0010422966453115653
X395,0.0010382736386247544
X901,0.0010377336836413906
X1001,0.0010360085292832127
X154,0.0010338731938321277
X834,0.001032138903307931
X59,0.0010296477588398456
X385,0.0010291534509981387
X664,0.00102818685816285
X875,0.00102247436123675
X678,0.0010215419562623165
X380,0.0010207385883849419
X779,0.001017953004935731
X393,0.001012922964474677
X983,0.0010119270811162662
X95,0.0010050830528494522
X562,0.000999182888137464
X117,0.000997851587774298
X193,0.0009959697377130532
X819,0.0009949886908701719
X1044,0.000993437043280004
X195,0.0009866339313801048
X782,0.0009801250780691229
X801,0.0009767626555516778
X832,0.000975291849050275
X852,0.000972713065560334
X76,0.0009707059898969812
X921,0.0009689419540033091
X815,0.0009684047394834571
